,year_film,year_ceremony,ceremony,category,name,film,winner,total_noms,runtime,director,stars,gross,imdb_rating,metascore,best_director_nom,genre_drama,genre_romance,genre_war,genre_crime,genre_film-noir,genre_musical,genre_action,genre_comedy,genre_music,genre_western,genre_history,genre_thriller,genre_biography,genre_family,genre_adventure,genre_sport,genre_mystery,genre_fantasy,genre_sci-fi,genre_horror,genre_animation,certificate_pg-13,certificate_passed,certificate_not_rated,certificate_approved,certificate_tv-pg,certificate_g,certificate_pg,certificate_tv-ma,certificate_r,certificate_m/pg,certificate_gp,bafta_nom,bafta_win,gg_drama_nom,gg_drama_win,gg_comedy_nom,gg_comedy_win,rt_critic,rt_audience,pga_nom,pga_win,ccma_nom,ccma_win
10,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,TRUE,4,152,Lewis Milestone,"Lew Ayres, Louis Wolheim, John Wray, Arnold Lucy",55963850.88,8.1,91,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,89,0,0,0,0
11,1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,FALSE,5,107,Ernst Lubitsch,"Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth",,7,,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,77,0,0,0,0
12,1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,FALSE,3,90,Alfred E. Green,"George Arliss, Doris Lloyd, David Torrence, Joan Bennett",,6.1,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,41,0,0,0,0
13,1930,1931,4,OUTSTANDING PRODUCTION,RKO Radio,Cimarron,TRUE,7,123,Wesley Ruggles,"Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil",,5.8,70,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,25,0,0,0,0
14,1930,1931,4,OUTSTANDING PRODUCTION,Fox,East Lynne,FALSE,1,102,Frank Lloyd,"Ann Harding, Clive Brook, Conrad Nagel, Cecilia Loftus",,5.8,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,93,0,0,0,0
15,1930,1931,4,OUTSTANDING PRODUCTION,The Caddo Company,The Front Page,FALSE,3,101,Lewis Milestone,"Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton",,6.7,76,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,59,0,0,0,0
16,1930,1931,4,OUTSTANDING PRODUCTION,Paramount Publix,Skippy,FALSE,4,85,Norman Taurog,"Jackie Cooper, Robert Coogan, Mitzi Green, Jackie Searl",,6.3,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,57,0,0,0,0
17,1930,1931,4,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Trader Horn,FALSE,1,122,W.S. Van Dyke,"Harry Carey, Edwina Booth, Duncan Renaldo, Mutia Omoolu",,6.1,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,35,0,0,0,0
18,1931,1932,5,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Arrowsmith,FALSE,4,108,John Ford,"Ronald Colman, Helen Hayes, Richard Bennett, A.E. Anson",,6.2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,89,42,0,0,0,0
19,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Grand Hotel,TRUE,1,112,Edmund Goulding,"Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery",51836516.88,7.3,79,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,77,0,0,0,0
20,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,One Hour with You,FALSE,1,78,"George Cukor, Ernst Lubitsch","Maurice Chevalier, Jeanette MacDonald, Genevieve Tobin, Lili Damita",,7.1,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,74,0,0,0,0
21,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,Shanghai Express,FALSE,3,82,Josef von Sternberg,"Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland",,7.3,83,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,96,79,0,0,0,0
22,1931,1932,5,OUTSTANDING PRODUCTION,Fox,Bad Girl,FALSE,3,90,Frank Borzage,"James Dunn, Sally Eilers, Minna Gombell, Frank Darien",,6.4,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,40,0,0,0,0
23,1931,1932,5,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Champ,FALSE,4,86,King Vidor,"Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates",,7.3,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,76,0,0,0,0
24,1931,1932,5,OUTSTANDING PRODUCTION,First National,Five Star Final,FALSE,1,89,Mervyn LeRoy,"Edward G. Robinson, Marian Marsh, H.B. Warner, Anthony Bushell",,7.3,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,77,0,0,0,0
25,1931,1932,5,OUTSTANDING PRODUCTION,Paramount Publix,The Smiling Lieutenant,FALSE,1,93,Ernst Lubitsch,"Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles",,7.2,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,66,0,0,0,0
26,1932,1933,6,OUTSTANDING PRODUCTION,London Films,The Private Life of Henry VIII,FALSE,2,97,Alexander Korda,"Charles Laughton, Robert Donat, Franklin Dyall, Miles Mander",,7,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,75,0,0,0,0
27,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,She Done Him Wrong,FALSE,1,66,Lowell Sherman,"Mae West, Cary Grant, Owen Moore, Gilbert Roland",102450611.7,6.3,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,52,0,0,0,0
28,1932,1933,6,OUTSTANDING PRODUCTION,Fox,State Fair,FALSE,2,99,Henry King,"Janet Gaynor, Will Rogers, Lew Ayres, Sally Eilers",,6.7,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,52,0,0,0,0
29,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,42nd Street,FALSE,2,89,Lloyd Bacon,"Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler",49131861.31,7.3,83,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,74,0,0,0,0
30,1932,1933,6,OUTSTANDING PRODUCTION,Fox,Cavalcade,TRUE,4,112,Frank Lloyd,"Diana Wynyard, Clive Brook, Una O'Connor, Herbert Mundin",162989609.5,5.8,73,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,27,0,0,0,0
31,1932,1933,6,OUTSTANDING PRODUCTION,Columbia,Lady for a Day,FALSE,4,96,Frank Capra,"Warren William, May Robson, Guy Kibbee, Glenda Farrell",,7.4,,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,79,0,0,0,0
32,1932,1933,6,OUTSTANDING PRODUCTION,RKO Radio,Little Women,FALSE,3,115,George Cukor,"Katharine Hepburn, Joan Bennett, Paul Lukas, Edna May Oliver",97793765.69,7.2,92,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,78,0,0,0,0
33,1932,1933,6,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Smilin' Through,FALSE,1,98,Sidney Franklin,"Norma Shearer, Fredric March, Leslie Howard, O.P. Heggie",46754733.69,6.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,70,0,0,0,0
34,1932,1933,6,OUTSTANDING PRODUCTION,Warner Bros.,I Am a Fugitive from a Chain Gang,FALSE,3,92,Mervyn LeRoy,"Paul Muni, Glenda Farrell, Helen Vinson, Noel Francis",30269498.91,8.2,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,91,0,0,0,0
35,1932,1933,6,OUTSTANDING PRODUCTION,Paramount,A Farewell to Arms,FALSE,4,80,Frank Borzage,"Gary Cooper, Helen Hayes, Adolphe Menjou, Mary Philips",,6.4,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,53,0,0,0,0
36,1934,1935,7,OUTSTANDING PRODUCTION,RKO Radio,The Gay Divorcee,FALSE,5,107,Mark Sandrich,"Fred Astaire, Ginger Rogers, Alice Brady, Edward Everett Horton",,7.4,80,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,93,82,0,0,0,0
37,1934,1935,7,OUTSTANDING PRODUCTION,Warner Bros.,Here Comes the Navy,FALSE,1,87,Lloyd Bacon,"James Cagney, Pat O'Brien, Gloria Stuart, Frank McHugh",56323857.14,6.2,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80,37,0,0,0,0
38,1934,1935,7,OUTSTANDING PRODUCTION,20th Century,The House of Rothschild,FALSE,1,88,"Alfred L. Werker, Sidney Lanfield","George Arliss, Boris Karloff, Loretta Young, Robert Young",,6.5,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,54,0,0,0,0
39,1934,1935,7,OUTSTANDING PRODUCTION,Universal,Imitation of Life,FALSE,3,111,John M. Stahl,"Claudette Colbert, Warren William, Rochelle Hudson, Ned Sparks",,7.5,72,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,88,85,0,0,0,0
40,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Barretts of Wimpole Street,FALSE,2,109,Sidney Franklin,"Norma Shearer, Fredric March, Charles Laughton, Maureen O'Sullivan",,6.9,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,69,0,0,0,0
41,1934,1935,7,OUTSTANDING PRODUCTION,Paramount,Cleopatra,FALSE,5,100,Cecil B. DeMille,"Claudette Colbert, Warren William, Henry Wilcoxon, Joseph Schildkraut",,6.8,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,67,0,0,0,0
42,1934,1935,7,OUTSTANDING PRODUCTION,First National,Flirtation Walk,FALSE,2,97,Frank Borzage,"Dick Powell, Ruby Keeler, Pat O'Brien, Ross Alexander",,5.6,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,25,0,0,0,0
43,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Thin Man,FALSE,4,91,W.S. Van Dyke,"William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton",,7.9,86,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,98,94,0,0,0,0
44,1934,1935,7,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Viva Villa!,FALSE,4,115,"Jack Conway, Howard Hawks, William A. Wellman","Wallace Beery, Fay Wray, Leo Carrillo, Donald Cook",24220477.24,6.3,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,45,0,0,0,0
45,1934,1935,7,OUTSTANDING PRODUCTION,Jesse L. Lasky (production company),The White Parade,FALSE,2,80,Irving Cummings,"Loretta Young, John Boles, Dorothy Wilson, Muriel Kirkland",,6.8,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,,0,0,0,0
46,1934,1935,7,OUTSTANDING PRODUCTION,Columbia,It Happened One Night,TRUE,5,105,Frank Capra,"Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns",95222074.63,8.1,87,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,93,0,0,0,0
47,1934,1935,7,OUTSTANDING PRODUCTION,Columbia,One Night of Love,FALSE,6,84,Victor Schertzinger,"Grace Moore, Tullio Carminati, Lyle Talbot, Mona Barrie",,5.6,,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,42,0,0,0,0
48,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,The Informer,FALSE,6,91,John Ford,"Victor McLaglen, Heather Angel, Preston Foster, Margot Grahame",44240036.86,7.4,65,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,94,78,0,0,0,0
49,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Alice Adams,FALSE,2,99,George Stevens,"Katharine Hepburn, Fred MacMurray, Fred Stone, Evelyn Venable",,6.9,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,71,0,0,0,0
50,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Broadway Melody of 1936,FALSE,2,101,"Roy Del Ruth, W.S. Van Dyke","Jack Benny, Eleanor Powell, Robert Taylor, Una Merkel",,6.8,,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,76,0,0,0,0
51,1935,1936,8,OUTSTANDING PRODUCTION,Cosmopolitan,Captain Blood,FALSE,5,119,Michael Curtiz,"Errol Flynn, Olivia de Havilland, Lionel Atwill, Basil Rathbone",63193400.02,7.7,89,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,89,0,0,0,0
52,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,David Copperfield,FALSE,3,130,George Cukor,"Freddie Bartholomew, Frank Lawton, Edna May Oliver, Elizabeth Allan",,7.4,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,76,0,0,0,0
53,1935,1936,8,OUTSTANDING PRODUCTION,Warner Bros.,A Midsummer Night's Dream,FALSE,4,133,"William Dieterle, Max Reinhardt","James Cagney, Dick Powell, Ian Hunter, Verree Teasdale",,6.8,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,92,62,0,0,0,0
54,1935,1936,8,OUTSTANDING PRODUCTION,Paramount,The Lives of a Bengal Lancer,FALSE,7,109,Henry Hathaway,"Gary Cooper, Franchot Tone, Richard Cromwell, Guy Standing",,7,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,71,0,0,0,0
55,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Mutiny on the Bounty,TRUE,8,132,Frank Lloyd,"Charles Laughton, Clark Gable, Franchot Tone, Herbert Mundin",,7.6,87,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,84,0,0,0,0
56,1935,1936,8,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Naughty Marietta,FALSE,2,105,"Robert Z. Leonard, W.S. Van Dyke","Jeanette MacDonald, Nelson Eddy, Frank Morgan, Elsa Lanchester",,6.5,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,76,0,0,0,0
57,1935,1936,8,OUTSTANDING PRODUCTION,Paramount,Ruggles of Red Gap,FALSE,1,90,Leo McCarey,"Charles Laughton, Mary Boland, Charles Ruggles, Zasu Pitts",,7.6,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100,89,0,0,0,0
58,1935,1936,8,OUTSTANDING PRODUCTION,RKO Radio,Top Hat,FALSE,4,101,Mark Sandrich,"Fred Astaire, Ginger Rogers, Edward Everett Horton, Erik Rhodes",82984995.46,7.7,93,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,90,0,0,0,0
59,1935,1936,8,OUTSTANDING PRODUCTION,20th Century,Les Misérables,FALSE,4,108,Richard Boleslawski,"Fredric March, Charles Laughton, Cedric Hardwicke, Rochelle Hudson",,7.7,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,85,86,0,0,0,0
60,1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,A Tale of Two Cities,FALSE,2,128,"Jack Conway, Robert Z. Leonard","Ronald Colman, Elizabeth Allan, Edna May Oliver, Reginald Owen",,7.8,87,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,83,0,0,0,0
61,1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Romeo and Juliet,FALSE,4,125,George Cukor,"Norma Shearer, Leslie Howard, John Barrymore, Conway Tearle",,6.5,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,54,0,0,0,0
62,1936,1937,9,OUTSTANDING PRODUCTION,Cosmopolitan,The Story of Louis Pasteur,FALSE,4,86,William Dieterle,"Paul Muni, Josephine Hutchinson, Anita Louise, Donald Woods",,7.3,,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,76,0,0,0,0
63,1936,1937,9,OUTSTANDING PRODUCTION,Warner Bros.,Anthony Adverse,FALSE,7,141,"Mervyn LeRoy, Michael Curtiz","Fredric March, Olivia de Havilland, Donald Woods, Anita Louise",,6.3,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,49,0,0,0,0
64,1936,1937,9,OUTSTANDING PRODUCTION,Samuel Goldwyn Productions,Dodsworth,FALSE,7,101,William Wyler,"Walter Huston, Ruth Chatterton, Paul Lukas, Mary Astor",,7.8,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,86,0,0,0,0
65,1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Great Ziegfeld,TRUE,7,176,Robert Z. Leonard,"William Powell, Myrna Loy, Luise Rainer, Frank Morgan",,6.6,69,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,50,0,0,0,0
66,1936,1937,9,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,Libeled Lady,FALSE,1,98,Jack Conway,"Jean Harlow, William Powell, Myrna Loy, Spencer Tracy",,7.8,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,88,0,0,0,0
67,1936,1937,9,OUTSTANDING PRODUCTION,Columbia,Mr. Deeds Goes to Town,FALSE,5,115,Frank Capra,"Gary Cooper, Jean Arthur, George Bancroft, Lionel Stander",,7.8,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,86,0,0,0,0
